step,x,y,z
0,6501.50244140625,-4199.6943359375,-1.2974355220794678
1,6501.02880859375,-4188.0478515625,-3.974900245666504
2,6488.38330078125,-4188.05224609375,-7.501758575439453
3,6481.01220703125,-4180.43017578125,-4.7273712158203125
4,6481.35888671875,-4181.3134765625,-4.616092681884766
