step,x,y,z
0,6501.50244140625,-4199.6943359375,-1.2936465740203857
1,6501.021484375,-4188.02783203125,-3.9670181274414062
2,6488.36083984375,-4188.0791015625,-7.492463111877441
3,6481.00634765625,-4180.46142578125,-4.722650051116943
4,6481.388671875,-4181.43798828125,-4.604381084442139
