step,x,y,z
0,6501.50244140625,-4199.6943359375,-1.3008731603622437
1,6501.0185546875,-4187.9228515625,-3.5418500900268555
2,6488.36083984375,-4187.9384765625,-6.615636348724365
3,6480.9736328125,-4180.34033203125,-3.5428125858306885
4,6481.421875,-4181.42041015625,-3.420992612838745
