step,x,y,z
0,6501.50244140625,-4199.6943359375,-1.3230847120285034
1,6499.1162109375,-4198.91845703125,-2.4579482078552246
2,6496.13671875,-4199.21826171875,-2.538384437561035
3,6494.64599609375,-4198.67578125,-3.2882027626037598
4,6494.65966796875,-4198.67919921875,-3.288532018661499
